Right Hand
==============
     JOINT_WRIST)	X: 0.090023, Y: 0.014605, Z: 0.319387 
     JOINT_CENTER)	X: 0.121765, Y: 0.042107, Z: 0.319775 
     JOINT_THUMB_BASE)	X: 0.104164, Y: 0.011811, Z: 0.335069 
     JOINT_THUMB_JT1)	X: 0.135914, Y: 0.020760, Z: 0.316204 
     JOINT_THUMB_JT2)	X: 0.135308, Y: 0.023696, Z: 0.283843 
     JOINT_THUMB_TIP)	X: 0.139905, Y: 0.033125, Z: 0.264733 
     JOINT_INDEX_BASE)	X: 0.161735, Y: 0.057140, Z: 0.340463 
     JOINT_INDEX_JT1)	X: 0.174831, Y: 0.026081, Z: 0.312182 
     JOINT_INDEX_JT2)	X: 0.153687, Y: 0.020384, Z: 0.310067 
     JOINT_INDEX_TIP)	X: 0.139607, Y: 0.030217, Z: 0.320318 
     JOINT_MIDDLE_BASE)	X: 0.151994, Y: 0.068299, Z: 0.320144 
     JOINT_MIDDLE_JT1)	X: 0.166954, Y: 0.032532, Z: 0.291843 
     JOINT_MIDDLE_JT2)	X: 0.141870, Y: 0.020260, Z: 0.293887 
     JOINT_MIDDLE_TIP)	X: 0.127445, Y: 0.028751, Z: 0.304834 
     JOINT_RING_BASE)	X: 0.140552, Y: 0.074524, Z: 0.303369 
     JOINT_RING_JT1)	X: 0.153482, Y: 0.043563, Z: 0.276476 
     JOINT_RING_JT2)	X: 0.144772, Y: 0.026721, Z: 0.265318 
     JOINT_RING_TIP)	X: 0.128404, Y: 0.016180, Z: 0.260741 
     JOINT_PINKY_BASE)	X: 0.121305, Y: 0.076580, Z: 0.283826 
     JOINT_PINKY_JT1)	X: 0.141861, Y: 0.047827, Z: 0.272886 
     JOINT_PINKY_JT2)	X: 0.151306, Y: 0.034616, Z: 0.267859 
     JOINT_PINKY_TIP)	X: 0.157341, Y: 0.020948, Z: 0.266525 
Right Hand
==============
     JOINT_WRIST)	X: 0.089046, Y: 0.011880, Z: 0.312639 
     JOINT_CENTER)	X: 0.119345, Y: 0.040778, Z: 0.315941 
     JOINT_THUMB_BASE)	X: 0.100314, Y: 0.011086, Z: 0.330697 
     JOINT_THUMB_JT1)	X: 0.134569, Y: 0.019895, Z: 0.316806 
     JOINT_THUMB_JT2)	X: 0.139529, Y: 0.020060, Z: 0.284687 
     JOINT_THUMB_TIP)	X: 0.147090, Y: 0.028049, Z: 0.265866 
     JOINT_INDEX_BASE)	X: 0.154593, Y: 0.059365, Z: 0.341704 
     JOINT_INDEX_JT1)	X: 0.173402, Y: 0.026682, Z: 0.319032 
     JOINT_INDEX_JT2)	X: 0.152909, Y: 0.020313, Z: 0.314190 
     JOINT_INDEX_TIP)	X: 0.137299, Y: 0.030665, Z: 0.321202 
     JOINT_MIDDLE_BASE)	X: 0.148200, Y: 0.068300, Z: 0.319086 
     JOINT_MIDDLE_JT1)	X: 0.168996, Y: 0.031017, Z: 0.297144 
     JOINT_MIDDLE_JT2)	X: 0.144019, Y: 0.018388, Z: 0.296324 
     JOINT_MIDDLE_TIP)	X: 0.127945, Y: 0.027512, Z: 0.303962 
     JOINT_RING_BASE)	X: 0.139670, Y: 0.072544, Z: 0.300105 
     JOINT_RING_JT1)	X: 0.158071, Y: 0.040067, Z: 0.278757 
     JOINT_RING_JT2)	X: 0.143451, Y: 0.025722, Z: 0.270727 
     JOINT_RING_TIP)	X: 0.130161, Y: 0.012680, Z: 0.263427 
     JOINT_PINKY_BASE)	X: 0.124075, Y: 0.072037, Z: 0.277452 
     JOINT_PINKY_JT1)	X: 0.149254, Y: 0.046485, Z: 0.268392 
     JOINT_PINKY_JT2)	X: 0.157532, Y: 0.031911, Z: 0.265551 
     JOINT_PINKY_TIP)	X: 0.160043, Y: 0.017136, Z: 0.264918 
Right Hand
==============
     JOINT_WRIST)	X: 0.089526, Y: 0.008424, Z: 0.307620 
     JOINT_CENTER)	X: 0.117264, Y: 0.039620, Z: 0.312247 
     JOINT_THUMB_BASE)	X: 0.097495, Y: 0.010545, Z: 0.327259 
     JOINT_THUMB_JT1)	X: 0.133153, Y: 0.020131, Z: 0.318279 
     JOINT_THUMB_JT2)	X: 0.143625, Y: 0.016927, Z: 0.287679 
     JOINT_THUMB_TIP)	X: 0.153936, Y: 0.023204, Z: 0.269526 
     JOINT_INDEX_BASE)	X: 0.146479, Y: 0.063563, Z: 0.340968 
     JOINT_INDEX_JT1)	X: 0.170603, Y: 0.029913, Z: 0.326077 
     JOINT_INDEX_JT2)	X: 0.151622, Y: 0.021564, Z: 0.318729 
     JOINT_INDEX_TIP)	X: 0.134519, Y: 0.031507, Z: 0.321669 
     JOINT_MIDDLE_BASE)	X: 0.143682, Y: 0.069330, Z: 0.316653 
     JOINT_MIDDLE_JT1)	X: 0.169867, Y: 0.031351, Z: 0.303390 
     JOINT_MIDDLE_JT2)	X: 0.146801, Y: 0.015923, Z: 0.299662 
     JOINT_MIDDLE_TIP)	X: 0.128778, Y: 0.023898, Z: 0.303064 
     JOINT_RING_BASE)	X: 0.138389, Y: 0.070717, Z: 0.296132 
     JOINT_RING_JT1)	X: 0.161869, Y: 0.037396, Z: 0.282442 
     JOINT_RING_JT2)	X: 0.145686, Y: 0.024398, Z: 0.275151 
     JOINT_RING_TIP)	X: 0.130974, Y: 0.012582, Z: 0.268523 
     JOINT_PINKY_BASE)	X: 0.127032, Y: 0.066463, Z: 0.271443 
     JOINT_PINKY_JT1)	X: 0.154673, Y: 0.041915, Z: 0.269903 
     JOINT_PINKY_JT2)	X: 0.160902, Y: 0.026951, Z: 0.264776 
     JOINT_PINKY_TIP)	X: 0.163319, Y: 0.013383, Z: 0.258853 
Right Hand
==============
     JOINT_WRIST)	X: 0.105966, Y: 0.003269, Z: 0.298120 
     JOINT_CENTER)	X: 0.126283, Y: 0.039195, Z: 0.305905 
     JOINT_THUMB_BASE)	X: 0.106012, Y: 0.009344, Z: 0.318536 
     JOINT_THUMB_JT1)	X: 0.143760, Y: 0.011678, Z: 0.322231 
     JOINT_THUMB_JT2)	X: 0.163138, Y: -0.001607, Z: 0.299775 
     JOINT_THUMB_TIP)	X: 0.180159, Y: -0.002205, Z: 0.286168 
     JOINT_INDEX_BASE)	X: 0.140138, Y: 0.071499, Z: 0.337782 
     JOINT_INDEX_JT1)	X: 0.171798, Y: 0.040950, Z: 0.338399 
     JOINT_INDEX_JT2)	X: 0.173282, Y: 0.020608, Z: 0.330151 
     JOINT_INDEX_TIP)	X: 0.157945, Y: 0.012805, Z: 0.319960 
     JOINT_MIDDLE_BASE)	X: 0.145633, Y: 0.073409, Z: 0.313319 
